undermining|assault
classical|nonclassical,class,crude
undramatic|dramatic
isolated|appurtenant
tracked|trackless
affectionate|fierce
shroud|divest,blazon
hyperpnea|hypopnea
discontinue|undertake,continue,repeat,keep,uphold
unsympathetic|likable
acrocarp|pleurocarp
blaze|flicker
meager|perfect,abundant,superb,copious,stout,rich,flowing,fertile,chubby,ample,sufficient,fat,brawny
mysterious|intelligible,transparent
unservile|servile
delineate|caricature,undelineated,eradicate,misrepresent,efface,expunge,exaggerate
erase|inscribe,eradicate,record,engrave,interpolate,enroll,enlist
gratify|deny,stint,abstain,forbear,discipline,envenom,grieve,bore,infest,disappoint,dissatisfy,displease,offend,deprive
white-collar|blue-collar
abstract|concrete,restore,worldly,bring,objective
disqualifying|enabling
nice|voracious,awful,fulsome,nasty,barbarous
liquid|unmelted,solid,hard,gaseous
egocentric|selfless,altruistic
rejective|acceptive
inflection|rectilinearity,directness,straightness
procrastinating|prompt
perfect|average,perverted,bad,simple,faulty,deformed,imperfect,incomplete,scant,defaced,poor,meager,amiss,defective,deficient,corrupted,corrupt,inferior,insufficient,spoiled,ruined,blemished,fallible,worthless,short,marred
fewer|more
crystalline|dark,hazy,thick
im-|explicit,precaution
ascribe|dissociate,disconnect,deny,refuse,exclude
apolune|perilune,periselene
graceful|gawky,awkward,graceless,hideous
descending|ascending
unbending|supple
nig-|abundant
conspiracy|synod,constitution,congress,council,parliament,legislation
spite|also
largeheartedness|meanness
oracular|vacillating,cautious,diffident,modest
punctuality|tardiness
aristocratic|vulgar,popular
nephew|niece
ham it up|underact
from|feed,embellish,addicted,electric,amid,carry
ill-smelling|fragrant
segregation|accumulation,composition,integration,socialism
uncastrated|castrated
recuperate|drop,deteriorate
liberalness|illiberality
uncomplimentary|unctuous
decalcify|calcify
ill|healthy,felicity,prosperity,whole,welfare,philanthropy,breeding
in-|feel
finished|rude,incomplete,poor,coarse,inartistic,unfinished,crude
rejection|proposal,election,acceptance,selection,absorption,entertainment,carpet,faith,admission,reception,belief
incalculable|calculable
deterrence|incentive
manufacture|implement
verifable|romantic
laxation|tightening
stigmatic|astigmatic
vituperation|encomium,applause
wishful|undesirous
pond|averse,wellgrounded,unaffectionate,strong-minded,unloving,austere,rational,sensible,undemonstrative
ecclesiastic|laical
death|activity,vitality,birth,growth,rise,life
trite|curious,abstruse
noiseless|loud,clamorous,turbulent,brawling,uproarious,tumultuous,boisterous,noisy
deportment|misconduct,misbehavior,bosom
undiscriminating|shrewd,logical
unmindfully|mindfully
adornment|finery
bear on|discontinue
bestow|plead,withhold,importune,educe,forbear
imp|cherub,angel
despotism|constitution
forsake|keep
soiled|gorgeous,neat,clean
paper|cash
unalterable|erratic,variable,alterable
liberality|meanness,cupidity
discriminate|indiscriminate
im~|immaterial
value|disesteem,violate,disrespect,depreciate
annex|disconnect,separate,disengage,detach,remove,withdraw
ruse|emblem
enforced|gratuitous,unenforced
ing|declamation
repay|owe
ill-bred|genteel
avoirdupois|leanness
estrnnge|conciliate
verified|apocryphal
rush|delay,percolate,linger,babble,best
eaacting|easy
nigh|far
tricky|candid
worthless|necessary,perfect,adequate,airr,rich,worthy,valueless,eminent,expensive,ignoble,worthless,unsuitable,eligible,virtuous,defective,valuable
misapprehend|perceive
maladaptive|adaptive
unbeliever|fanatic
creeping|voluble
in~|skilful
gust|calm,composure,tranquillity,subsidence,insipidity,tastelessness,restraint,zephyr
off-street|on-street
unconvincing|convincing
por-|mass
properly|improperly
posteriority|anteriority,priority
poor|prolific,rich people,perfect,wealthy,adequate,affluent,copious,splendid,wellsupplied,fruitful,favorable,fertile,estimable,routine,sufficient,luxuriant,costly,abounding,fraught,arrogant,abundant,superb,opulent,rich,finished,significant,expensive,important,self-assertive,gorgeous,productive,comfortable,ample,valuable
vowel sound|consonant
misdelivery|errand
unsatisfactory|auspicious,sufficient,satisfactory
unexcitingly|excitingly
ungraceful|elegant
unhandy|handy
enduring|transient,ephemeral
excellent|average,passable,heinous,paltry,abandoned,popular,wicked
fairly|unfairly,immoderately
unattached|attached
recalling|forgetfulness
wind off|wind
pretermit|inspect,attend to
harangue|mumble,stuttering,blandiloquence,insinuation,suggestion,reasoning,stammering,apothegm,conversation,drawl
charged|uncharged,electric
smilingly|unsmilingly
rhetorical|bald
criterion|eye,conjecture,glance,intention
acidulate|sweeten
rimless|rimmed
unkind|tender,neighborly,kind,amicable,friendly,pleasant,motherly,soft
unbeneficial|profitable
at worst|at best
deciphered|undeciphered
efface|delineate,inscribe,restore,imprint,reinstate,engrave,replace,portray,revive,renew
bas relief|high relief
ectomorphic|mesomorphic,endomorphic
eyeless|eyed
aggressive|diffident
legibility|illegibility
ire|will,mildness,peaceableness,forgiveness,patience,good,reconciliation,forbearance
scented|scentless,fetid
holistic|atomistic
custom-built|ready-made
disdain|call,friendship,appreciate,condescend,emulation,appeal,hail,venerate,veneration
hollowed|prominent
grating|harmonious
turbulent|calm,still,noiseless,pacific
ir~|orderly
hypothetical^|decisive
apojove|perijove
edifice|demolition,heap,ruin,destruction
persuasive|dictatorial,dissuasive
restless|still,peaceable,sedate
unborn|born
fledged|unfledged
laxative|costive
concord|enmity,collision,opposition,disagree,animosity,altercation,warfare,discordance,contention,hostility
fortunately|unluckily
acid|mellow,luscious
unexportable|exportable
decelerate|accelerate
negligence|achievement,industry,discipline,care
undutifulness|conscience
insecure|sure,untroubled,secure,spy,fashion
nuptial|virgin,bachelor
intuition|inquiry,reasoning,attainment
conciliate|aggravate,estrnnge,irritate,lose,alienate,enrage,antagonize,offend
accede|dissent,academy
abstemious|self-indulgent,sensual,gluttonous,greedy
hurtful|advantageous,sanative,innocuous,remedial,wholesome,beneficial,helpful,harmless,salubrious,good
noncrucial|critical,crucial
constructive|destructive
remedy|forefend,venom,harm,vitiate,injury
nullify|confirm,entail,effectuate,enact,perpetuate,establish,stabilitate,validate
respect|encroach,ridicule,disrespect,despise,intrenchment,desecrate,indignity,disesteem,provocation,violate,insolence,laughter,violence
article|disconnect,separate,articulate,mute,sum,muzzle,dissect,whisper,disperse,disjoin,silence,axt,rend,render
ity|understanding,characteristic
retreat|conquer,victory,overcome,aggression,abut,incursion,meddle,foray,invasion,inroad,engage,acceptation,encamp
port|starboard
bivalent|univalent,multivalent
distemper|good humor
crooked|straight,linear
adjustment|disturbance,disorder
blow out|ignite
hesitate|stake,precipitate,determine,hasten,decide,run,bun,flow
jawed|jawless
income|expenditure,disbursement,outgo,outlay,expense
ornamented|plain
production|implication,model,abbreviation
fitfulness|perseverance
benevolence|wickedness,envy,malevolence,mis-,unkindness,selfishness,churlish-,hatred,venom,malignity,greediness,stinginess,brutality,malice
previously|anon,below,after
grandeur|meanness,shame,paltriness?,disgrace,humiliation
dislodge|locality,lodge
democratic|undemocratic,despotic
cainogenesis|palingenesis
wellgrounded|pond
identify|mistake,confuse,disunite,overlook,divide,confound
malevolence|benevolence,beneficence
unlined|lined
hole up|aestivate,estivate
artesian|subartesian
honorary|jurisdictional,official,remunerative,professional
untangle|knot,ravel
improvement|degeneracy,declination,harm,deterioration,decline,retrogradation,injury,degeneration,debasement,retrogression
denude|decorate,endow,embellish,equip,accouter,enrich,garnish,adorn
unwisely|wisely
madly|sanely
steadfast|waver,vacillate,afloat
offside|onside
joyless|buoyant,cheerful,jolly,joyous
detest|love,appreciate,like,approve,admire,praise,venerate
endogamous|autogamous,exogamous
enterprising|cowardly,conservative,inactive,wary,timid,prudent,di~,cautious,fearful
enunciate|recant,mutter,stammer,infer,babble
prophetical|unprophetic
segregated|integrated
incongruous|similar,congruous,parallel,pertinent,suggestion,harmonious
uncompromising|flexible
sanity|folly,insanity,disease,madness,idiocy,alienation,ailment,infatuation,intoxication,frenzy,malady,lunacy,meeting,mania
unformed|inveterate,formed
number|paucity
obedience|rebellion,sedition,instruction,insurrection,revolution,resistance,mastery,violence
shorten|expound,expand,lengthen,protract,lend
acme|nadir,depth,bottom,root,ground,foundation,foot,base
casual|needful,pc-riorlir,constant,necessary,intentional,fixed,ordinary,systematic,perpetual,certain,regular,inherent
slack|quick,thrifty,severe,neat
degradation^|glory
property|essence,instrumentality
passivity|velocity,vehemence
deactivation|activation
nondriver|driver
disentangle|mat,snarl,entangle,involution,embarrass,weave
luster|ignominy
masses|aristocracy
productiveness|havoc
partial|radical,neutral,whole,fair,entire,general,impartial,equitable,equipage,unrestricted,unbiased,just,universal
serfdom|nobility,freedom,liberty
expressionless|sign
luscious|acid,pungent,tart,sour,bitter,sharp
drench|drain
confident|aforesaid,unconfident,vacillating,bashful,undecided,dubious,doubtful,time,crestfallen,fearful,scrupulous
unbolt|bolt
bubble|jewel,advantage,substance,reality,treasure,prize,good
neutralizer|agent,instrument
ordinance|custom,usage,tradition,fashion
saddled|unsaddled
wrinkleless|wrinkled
inter-divergence|concussion
drained|undrained
filled|unfilled,idle,vacant
proportionally|disproportionately
unashamedly|ashamedly
powerful|powerless,fee,vain,futile,inane,flaccid,weak
cite|discard,dispute,contradict,reject,educe,dismiss,challenge,garble,disprove
unsoundness|soundness
nullity|being
knowingly|unknowingly,unwittingly
alloicance|order
precision|imprecision
correspond|vary,disagree,disregard,clash,ignore,jar,neglect
degeneration|amelioration,evolution,improvement
absorbed|listless
elapse|halt,wait,grasp,continue,seize,endure,abide,hold
disinter|hide,bury,inter
speechlcssness|language
qualify|disqualify,heighten,unfit,exaggerate
foul ball|fair ball
youngness|oldness
admission|denial,negation,emission,contradiction,rejection
vapid|racy,poignant,impressive
adaptable|unadaptable
separateness|identity,juxtaposition
substantive|adjective
too soon|late
credence|denial,distrust,doubt,skepticism,disbelief
badly|well,advantageously
facilitate|obstruct,stop,hinder,embarrass
military man|civilian
domineering|supple,submissive
zip up|unzip
ill-formed|grammatical
jolting|smooth
headlong|heedful
construction|dislocation,dismemberment,anatomy,misunderstanding,dissolution,dilapidation,misconception
musically|unmusically
universal|individual,limited,exceptional,proper,particular,specific,strange,local,special,unique,peculiar,exclusive,sing,partial
deliberately|accidentally,unintentionally
deshabille|dress,than,apparel
skepticism|credulity,fanaticism,faith,credence
neurotic|unneurotic
minute|monstrous,ab,large,enormous,grand,great,apparent,inexact,superficial,general,stract,broad,discernible,huge,comprehensive
denunciatory|complimentary
productive|unproductive,fallow,poor,effete,consumptive,barren
unsigned|signed
hypothesis|fact,experiment,evidence,inquiry,discovery,certainty,reality,demonstration,proof,verity,case
unbaptised|baptized
comprehend|misconstrue,except,exclude,misunderstand
tidiness|litter,untidiness
divestment|than
erect|cast,unerect,level,darling,lay,wry
abashed|elated
jag|file
exalted|abject,wretched,low,pitiful,carnal,vile,base,ignoble
recurve|abut
jan|get
jar|hinge,correspond
gentle|loud,morose,obstinate,imperious,peevish,rough,stubborn,cruel,steep,harsh,ugly,boisterous,rugged,biting,ruthless,restive,sharp,rebellious,coarse,fierce,tart,bobber
goodness|badness,wickedness,evilness,sin,evil
get up|lie down,go to bed,dress down,lower,turn in,sit down
confluent|distributary
reconciled|unreconciled
womankind|mankind
inchoate|final
self-complacency|compunction
unenergetic|brisk
letter|inequality,declivity,unevenness,acclivity,vertically
unregularity|regularity
hereinafter|above-named
slow lane|fast lane
smokeless|smoky
overstatement|understatement
moonless|moonlit
frequently|seldom,occasionally,rarely,infrequently
aristocracy|populace,rabble,multitude,babble,people,democracy,masses
worth|worthlessiess,uselessness,worthlessness,futility,poverty,demerit,cheapness
fertile|inoperative,incondueive,fruitless,inventive,barren,unproductive,ineffective,poor,meager,sterile,effete,infertile,un,unimaginative
nonslippery|slippery
branded|unbranded
openness|intrigue,color,modesty,closeness,hypocrisy,craft,artifice,pretense,wile
tarnished|resplendent,splendid,fresh,pure
popular|sole,esoteric,excellent,illiberal,uncharitable,scien-,unpopular,kingdom,eminent,special,superior,selfish,aristocratic,unique,only,exclusive,narrow,snobbish,abstruse
weary-|fresh
acclivity|descent,declivity,depth,holloic,letter,decline
obfuscate|clarify
intolerance|tolerance
oppo'nent|champion
lacking|succeed,sufficient,rich,excessive,execute,redundant
recollective|unretentive
ribless|ribbed
reanimate|kill
incautious|watchful,vigilance,wary,cautious,circumspect,scrupulous
colourful|colourless,colorless
fulsome|delicate,temperate,tasteful,dry,sober,nice,chaste,moderate
criminate|justify
isotonic|isometric,hypertonic,hypotonic
belated|eager
flabbiness|fiber
inflexibility|flexibility,vacillation
occasional|perennial,habitation,perpetual,lasting
treacherous|constant,honest,true,honorable,confidential
keep quiet|talk
presentness|futurity,pastness
jet|hoary
unsectarian|sectarian
recollection|forgetfulness,expectation,oblivion
recurrent|gradual,perpetual,lasting
worry|ease,reassure,fondle
indelicate|decorous,feminine,pure
meagrely|amply
egregious|mediocre,usual,ordinary,commonplace,eminent,everyday
flattering|flippant,unflattering,contumacy,abusive,captious,cutting,biting
sanguine|wan,by
unfitness|fitness,ability
horned|hornless
significant|poor,inane,sign,little,nonsignificant
worse|better,superior,record,betrothal
delicious|nauseous,repulsive,unpalatable,loathsome,painful,bitter,acrid
complaisant|obstinate,peevish,absolute,tractions,perverse,abrupt,factious,short,rugged
catalogue|non-registration,oversight,non-entry,obliteration,forgetfulness,oblivion,omission
difficulty|ease,capability,simplicity,facility,version
eudaemonia|ill-being
ethically|unethically
unresentful|resentful,angry
worst|best
plainness|circumlocution
boyish|manly
forbearance|impatience,anger,intrenchment,ire
multilane|single-lane
nominative|oblique
martyrdom|denial,renegation,retraction,abjuration
awkicard|convenient
unlawful|admissible,lawful,licit,legal,just
distance|approximation,attachment,proximity,contact,nearness,vicinity,neighborhood,presence,contiguity,juxtaposition
planted|unplanted
abstain|feed,wanton,yield,gratify,consume,to,revel,indulge
heretic|adherent,believer,orthodox,fanatic
renounce|vindicate,maintain,own,retain,cherish,indorse,advocate,indulge,hold,avow,acknowledge,defend,adopt,assert,proclaim,fraternity,uphold,claim
malicious|unmalicious
vigilance|a,drowsy,vigilant,unwary,neglectful,thoughtless,heedless,inattentive,careless,negligent,incautious,inconsiderate,oblivious,xt,abandonment,lethargy,dull
bonny|unseemly,ufjly,ill-favored,homely,deformed
concentric|eccentric
hence|ago
seamed|seamless
approbation|denial,dissatisfaction,censure,disapproval,protest,reproof
suddenly|always,electric
strange^|experienced
unsociabijiti/|socialism
deceleration|acceleration,speedup
receipts|expense
immensurable|measurable
perpetuation|annihilation
deck out|dress down
stranger|fellow,inmate,comrade,relation
abettor|opponent,enemy,baffler,foe,adversary,antagonist,rival,detector,disconcerter,dissuader
grossness|refinement,delicacy
crotchet|creature
tactless|diplomatic,tactful
fancy|counsel,fact,law,horror,thought,actuality,subject,certainty,verity,aversion,reflect,truth,plain,reality,case,object,order
futurity|past,antiquity,presentness,pastness
dystopian|utopian
non-registration|list,catalogue
ruffled|placid
largely|hardly
^boundless|confined,restricted,narrow,circumscribed
hydrophilic|hydrophobic
awakened|unawakened
inapt|apropos
fittingness|unfitness
designate|miscall,misrepresent,generalize,misname
calculable|erratic,fickle,fitful,fanciful,incalculable
unification|disunion,separation
tenacious|unretentive,short,weak
omen|occurrence,fulfilment,event,realization
habilitate|undress
diffi-|heady
detestable|exemplary
merited|unmerited
strong suit|weak point
moisten|drain
vindicate|accuse,abjure,yet,vitiate,magnanimous,renounce,asperse,recant,abandon,vindictive,forgiving,generous,long-suffering,blacken,forego,axt,calumniate,merciful
tenuity|crassitude,thickness,bulk,consistency
defected|buoyant
guard|abandon,lose,betray,marauder
forrard|backward
ungulate|unguiculate
bleak|warm,protected,comfortable,cheerful,balmy,hot,sheltered
freedom|serfdom,destiny,servitude,fate,need,imprisonment,jurisdiction,captivity,modesty,obligation,slavery,duty,necessity
femininity|manhood,masculinity
virility|imbecility
focussed|unfocused
comrade|opponent,stranger,alien
blear|focus
peristalsis|anastalsis
mischief|favor,gratification,compensation,good,profit,beneficence,benefit,blessing
gracefulness|awkwardness
superfluous|convenient,inherent,essential
inane|pointed,powerful,forcible,significant,sensible
clement|severe,inclement,sharp
say farewell|welcome
get on|regress,get off,hop out
waive|avenge,claim,enforce,assume,insist
unsuspecting|wary
superseded|valid
noisily|quietly
questionable|likely,patent,sure,unquestionable,transparent
counter-argument|evasion
mature|green,infantile,unfledged,young,undeveloped,raw,blighted,crude,unripe,youthful,juvenile,immature,nascent,haw
scarceness|abundance
gutlessness|gutsiness
icane|maximum
unarmoured|armored
lossy|lossless
aggrade|degrade
totally|partly
dissipation|abstinence,focus,agglomeration,aggregation
corrupted|perfect
crisis|diagnostic
get in|exit,pull out
humidify|dehumidify
obstructed|plain,limitless
boney|boneless
unauthorised|authorized
achondritic|chondritic
persuasion|compulsion,dissuasion
softball|hardball
unburden|burden
unlikeable|sympathetic
parting|attachment,union
veteran|tyro,recruit,novice
abnormality|normality
omit|include,contain,quote,achieve,commit,do,heed,attend to,comprise
daughter|son
nonrigid|rigid
umoieldy|handy
varnished|naked
destitution|excess,resources
limitation|margin,ubiquity,space
terrify|allure
solicitation|bidding
awaken|allay,subdue,quiet,fall asleep
misinstruct|inform
strangle|propagate
jot|volume,world,mass,heap,bulk
undefiled|foul
eremitical|cenobitic
joy|pain,tears,misery,misfortune,sorrow,despondency,woe,melancholy,bewail,trouble,depression,mourn,despair,affliction,grief
inventor|agent,destroyer
comply|govern
fit out|undress
discontinued|continued
insensitivity|sensitivity
splitter|lumper
differ|equal,comport,conform,accord,doncur,agree
shockable|unshockable
arming|disarmament,disarming
investigation|divination,solution,judgment,discovery,clue,indication,thread,opinion
unmown|mown
de-iodinate|iodinate
equivalent|unlike,uneven,unequal,incommensurate,unbalanced
stupid|acute,brilliant,quick,efficient,bright,active,smart,intelligent,sharp,racy,knowing,astute,clever,able,sad,responsive,shrewd,witty
constricted|wide
perpetual|temporary,momentary,fugacious,transient,periodic,casual,ephemeral,occasional,recurrent
efflorescence|desiccation,deflorescence,bareness,waning,withering,nudity,denudation,absorption,fading,blasting
offer|irithdraio,with,withhold,divert,retract,retain,alienate
machine-made|handmade
importunate|selfreliant,self-respecting,diffident,modest
healthful|unsanitary,infirm,pernicious,unhealthful,poisonous,putrid
cncss|loquacity
unretentive|retentive
slenderly|amply
ornate|low,plain,bald,simple,nude,bare,naked
inadequacy|sufficiency,excess,adequacy,utility
neutralization|instrumentality
wrongly|correctly,right
scintillating|bald
narrowly|broadly
vernacular|magniloquent,euphuism,grandiloquence
carinate|ratite
subverter|founder
transient|everlasting,perennial,enduring,indelible,infinite,immortal,abiding,endless,perpetual,eternal,permanent,immanent,unfading,lasting,spy,inherent
drive|summon,attract,draw,invite,allure,coax,walk
bellyless|bellied
unshapely|shapely
stained|unstained,pure
intractable|tractable
fervid|cold
abasement|elevation,altitude,repute,impudence,caste,honor,supremacy,reputation,aggrandizement,standing,dignity,promotion,exaltation,height
amerce|indemnify
isolate|unite,associate
ill turn|service
civil|boorish,rude,uncivil,short,sidereal,warlike,clownish
inhibited|uninhibited
adjure|warn,deprecate,remonstrate,expostulate,by,defy,dare
rigidness|flexibility
indicate|conceal,misindicate,negative,contradict,falsify,misdirect
immobilize|unblock,unfreeze
contain|drop,give,yield,discharge,exclude,omit,way
founder|flourish,lineage,pedigree,subverter,float,destroyer
counteraction|instrument
angularity|roundness
medicine|venom
wordy|short
applicant|discard,apply,divert,divorce,misuse
incompatibility|adaptation,compatibility
dissatisfaction|approbation,axt,satisfaction
glowing|chilling,apathetic,cool,languid,dispassionate,dull
heavy-duty|light-duty
insufficiency|repletion,excess,livery,plenitude
decry|wheedle,laud,eulogize,extol,vaunt,magnify,praise
validity|ineffectiveness,weakness,impotency,lightness,futility
lactate|bottlefeed
disfranchise|enfranchise
nonflowering|flowering
unpromising|auspicious
developed|implicit,desire,puny,occult,undeveloped,simple,latent,elementary,immanent,potential,nascent,little,haw
be sick|keep down
curability|incurability
holiness|iniquity,unholiness,sin
humorous|grave,sad,serious,solemn,sober,humorless,matter-of-fact
vehement|frigid,inanimate,fee,placid,cool,mild,cold,passive,weak,controlled,passionless,indifferent,patient,subdued,feeble,impassive,stoical
differentiate|classify,amalgamate,confuse,generalize,imitate
contact|adjacence,distance,proximity,separation,isolation,abyss
circumstantial|organic
demobilization|mobilization
rearwards|forward
disadvantage|advantage,vantage,utility,behoof,emolument,profit,expediency
detachment|friction
irreducible|reducible
detachable|attachable
dishonest|righteous,virtuous,honest,respectable,veracious,just,honorable,upright
platyrrhine|catarrhine,leptorrhine
anxiety|assurance,ease,confidence,calmness,nonchalance,apathy,contentment,acquiescence
adjust|skew
beneficed|unbeneficed
western|eastern
vigorous|infantile,puny,effeminate,fee,languid,paint,impotent,sick,incapacitated,weak,inactive,indolent,powerless,effete,crazy,inert,feeble,enervated,flaccid,debilitated,aid
lucid|unsound,foggy,opaque,unintelligible,muddy,equivocal,black,mystifying,abstracted,confused,somber,turbid,obscure,involved,dark,insane,illegible,abstruse,indistinct
lucky|luckless,unlucky,adverse
noncausal|causative
invidious|impartial,due,considerate,fair,just
hypocapnia|hypercapnia
introversive|extroversive,ambiversive
compel|prevent,delay,hinder,block,encumber,hamper,absolve,acquit
depress|exhibition,prefer,uplift,heighten,elate,animate,waft,rear,encourage,enliven,gladden,improve,liaise,humanize,rejoice,elevate,ennoble
boisterous|calm,silent,noiseless,mild,unostentatious,quiet,gentle,self-possessed,serene,peaceful
faceless|faced
intrastate|interstate
candid|insincere,sly,cunning,hypocritical,wily,false,intriguing,designing,sharp,tricky,subtle,diplomatic,adroit,artful,shrewd,foxy,crafty,deceitful
demerit|merit,worth
decoy|emblem
diffident|arrogant,dogmatic,oracular,importunate,self-conceited,bold,aggressive,venturous,forirord
low tide|high tide
stinting|gratification
neap tide|springtide
historic|fabulous
false|conclusive,constant,correct,righteous,hearty,sound,real,veritable,faithful,candid,authentic,true,honest,legitimate,genuine,veracious,honorable
disobey|obey,keep,follow
descry|describe
candour|unfairness
appraise|misprize,allow,undervalue,discard,rebate,discount
prompt|dilatory,loitering,procrastinating,behindhand,sluggish,tardy,indisposed,unready,abstracted,lingering,warn,inactive,slow,unresponsive,backward
unrighteous|righteous,virtuous
elaborate|slight,chance,disregard,contract,overlook,mismanage,simple,offhand,crude,conjecture,hit,extemporize,declaim,guess,low,miscontrive,neglect
unimposing|imposing,superb,magnificent,stupor,dignified,magazine,lofty,tremendous
untutored|polite
crowd|elite,constellation,bevy,solitariness,cream,galaxy,solitude
laity|clergy,people,professional
repose|motion,wander,plight,frisk,tip
mechanical|selfconscious,lively,spirited,forced,impassioned,appreciative,animated,feeling,lifelike,labored
fustian|eloquence
candor|cunning,art,intrigue,unfairness,duplicity,craft,artifice,diplomacy,deception,guile,hypocrisy,pretense,wile
fatigue|entertainment,recreation,refresh
ill-tempered|amiable
set up|disassemble,level,abolish,disarrange,tear down
chariness|unwariness
nonmember|member
crown|bottom
sentence|acquittal,liberate,word,acquit
inculpatory|exculpatory
vain|adequate,potent,sound,worthy,modest,valid,abject,effective,plain,sufficient,satisfactory,serviceable,advantageous,availing,solid,efficient,profitable,earpedient,competent,real,cogent,substantial,important,luckless,powerful,beneficial,useful,valuable,essential
rustless|rusted
drink|teach
largeness|smallness,littleness
savant|blockhead,ignoramus
economize|waste,expend,lose,fritter,disburse
gladden|disappoint,wound,sadden,afflict,trouble,depress,dispirit,displease,grieve
surface ship|submersible
impureness|purity
dubiety|certainty
sanative|infectious,hurtful,poisonous
alive|foggy,dispirited,defunct,deceased,inanimate,departed,lifeless,dead,cold,unanimated,dull,numb
stupor|unimposing,debased,ordinary,degraded,life,ignoble,ridiculous,inglorious,low,mean,inconspicuous,sublime,undignified
flowering|flowerless
lugubrious|comical,happy,jubilant,air,laughable,ridiculous,absurd,jovial,facetious,droll,witty,ludicrous,comic,jolly,funny,joyful
immaturely|maturely
world|mankind,individual,domicile,body,presence,atom,jot,heaven
composed|abroad,mad,violent,warm,blank,nervous,discomposed,insane,frantic,breast
guardian|pupil
urgent|trivial,insignificant,immaterial,inconsiderable,unimportant
cyclical|noncyclic
fanatic|apostate,unbeliever,cynic,heretic,skeptic,hypocrite
unsound|valid,dictionary,bational,solid,healthy,sound,whole,lucid,logical
disembark|embark
composer|critic
readmit|excommunicate
indirectly|flat,directly
frequented|pathless,devious,desire,abandoned
condescend|scorn,spurn,disdain
transitory|eternal,everlasting,infinite,permanent,endless
report|fiction,fabrication,garble,allegory
unbraid|braid
married|unmarried,magnitude
disburse|hoard,economize,save,husband
pessimism|optimism
extenuated|flagitious
lucre|loss,failure,poverty,privation
outrage|favor,self-control,self-restraint
diffuse|brief,fuse,compress,concise,epigrammatic,hard
decouple|couple,associate
scramble|unscramble
adumbrate|reveal,illumine,misrepresent,fulfil,embody,realize
download|upload
dirtiness|cleanness
split|unite
mawkish'|flavor
introversion|extraversion,ambiversion
adequacy|deficiency,inadequacy
pessimist|optimist
expressed|implicit,tacit,virtual
different|identical,alike,similar,same,like,parallel,suggestion,answerable
ungreased|lubricated,greased
haploid|diploid,polyploid
superstructure|root,grotesque,foundation,basis
full-term|premature
peripheral|central
obliging|rude,disobliging,inconsiderate,perverse,arbitrary,discourteous,unaccommodating
level|rough,steep,raise,excavate
disruption|federation,convivial,alliance,confection,league,assembly,coalition,union,combination,ligament
heat up|cool
sordid|profuse,high-minded,large,lavish,prodigal,pure,munificent,u-ncovetous,unselfish,noble,generous,broad,refined,maintenance,honorable,liberal
condonation|retribution
fossorial|cursorial
preserve|discontinue,blot,convey,lose,betray,relinquish,consume,infringe,subvert,alter,endanger
luminary|blockhead,idiot,ignoramus
immobilise|unblock,unfreeze
jeopardize|insure
balefulness|beneficence
break up|assemble
roost|flutter,frisk
afloat|steadfast,firm,aground,moored,anchored,sunken,stranded,fixed
preservation|loss,damage,exposure,impairment,peril,injury,elimination,abandonment,wreath,violence
come off|attach
germy|germfree
loser|winner,victor,success,achiever
savage|mild,peaceable,bland,harmless
unsubmissive|servile
cripple|betrothal
sentry|marauder
immobility|mobility,excitability,motion
misbehavior|deportment,bearing,breeding
bear off|bring
clockwise|counterclockwise
cross|uncross,blithesome,genial,goodtempered,attractive,good-natured,amiable,winsome,charming,benign,good-humored
raised|lowered
demanding|undemanding
gladness|trouble,meeting
economise|waste
buy at|boycott
pitfall|refuge
corollary|problem,proposition
hilarity|grief
ameliorate|worsen,debase,deteriorate
decrepit|strong,young,youthful
earth|mankind
descriptive|diachronic
overthrow|countervail,rear,machination,restore,build,reinstate,victory,corroborate,construct,foundation,revive,support
hereditary|icon,conferred,achieved,acquired
inflict|suspend,alleviate,remove,spare
specialty|weak point
undeservedly|deservedly
vary|conform,correspond,imitate
spiritualism|worldliness
threatening|white
insensitive|quick,sensitive
mesomorphic|ectomorphic,endomorphic
underhanded|overhand
decency|indecency
eupneic|breathless
get rid of|establish
objective|notional,subjective,messenger,mental,abstract,intrinsic,potential
environ|messengers,service),envoy,in,orderly,(as,military,scout,spy
turn on|calm,switch off
improperly|properly
unsociably|sociably
self-sacrifice|indulgence
hinder|expedite,facilitate,previous,hasten,cooperate,compel,empower,quicken,urge,speed,persuade,promote,induce,encourage,enable,accelerate,assist,effectuate,let,educate,abet,entice,obverse
scent|deodorize,deodourise,effluvium
strengthen|die,lessen,enervate,paralyze,maim,suppress,weaken,enfeeble
adjunct|adjourn
exhibit|conceal,hide,falsify,imagine,shelter,secrete,suppress,mask
exterminator|maker
altruistic|selfish,egoistic
spiritualise|literalize
inadequate|equal,formal,condign,effective,radical,adequate,efficacious,excessive,enough,redundant
misplacement|assortment
subtract|add,bring,join
unscrew|screw
allopatry|sympatry
spirituality|worldliness,luxury,matter
accept|cast,eject,give,refuse,usurp,reject,repudiate,decline,ignore,dictate,disown
unexpansive|expansive
two-year|perennial,annual
mystic|plain,obvious,simple,ordinary,familiar,commonplace
dishabituation|habit
affront|amends,compliment,courtesy,homage,apology
misconsign|commit
painless|painful
access|acceptation
recite|fail,forget,falsify,misrepresent,garble,misquote,pervert
